Year,Month,SiteID,Type,lat,lon,GPP,Mod17a2,gpp_lue_LAI,gpp_lue_CI,gpp_lue_MCMC
2009,1,AR-SLu,MF,-33.4648,-66.4598,13.6048,3.103125,7.630637914,0.990762128,5.010795752
2009,2,AR-SLu,MF,-33.4648,-66.4598,12.9664,2.63125,3.77353609,0.656565994,4.882982428
2009,3,AR-SLu,MF,-33.4648,-66.4598,11.4011,2.31875,1.974196426,0.501026118,3.573155367
2009,4,AR-SLu,MF,-33.4648,-66.4598,10.0329,1.85,0.402946268,0.756703925,2.306835115
2009,5,AR-SLu,MF,-33.4648,-66.4598,8.28728,1.246875,0.204429615,1.014404331,1.856041112
2009,6,AR-SLu,MF,-33.4648,-66.4598,8.18429,1.06875,0.170734833,1.152011622,1.729149493
2009,7,AR-SLu,MF,-33.4648,-66.4598,8.35115,0.8375,0.074807984,0.90435052,1.35321562
2009,8,AR-SLu,MF,-33.4648,-66.4598,10.0039,0.9875,0.040680381,0.675354094,0.908343086
2009,9,AR-SLu,MF,-33.4648,-66.4598,11.3744,1.28125,0.116365705,0.956304603,1.808312271
2009,10,AR-SLu,MF,-33.4648,-66.4598,13.2865,1.2875,0,0,0
2009,11,AR-SLu,MF,-33.4648,-66.4598,14.1256,1.740625,0,0,0
2009,12,AR-SLu,MF,-33.4648,-66.4598,12.5543,2.825,5.991626203,0.669716326,4.722419533
2010,1,AR-SLu,MF,-33.4648,-66.4598,11.9269,2.440625,0,0,0
2010,2,AR-SLu,MF,-33.4648,-66.4598,9.93077,2.696875,5.535593481,0.963150304,7.163097171
2010,3,AR-SLu,MF,-33.4648,-66.4598,8.79918,2.24375,2.102703716,0.554164247,3.952119224
2010,4,AR-SLu,MF,-33.4648,-66.4598,6.20449,1.983333333,0.586334807,1.101094328,3.356719816
2010,5,AR-SLu,MF,-33.4648,-66.4598,3.82545,1.203125,0.203025244,1.084930722,1.985082243
2010,6,AR-SLu,MF,-33.4648,-66.4598,3.48962,0.946875,0.09011209,0.945808722,1.419642511
2010,7,AR-SLu,MF,-33.4648,-66.4598,4.54865,0.70625,0.069730831,0.842973036,1.261374053
2010,8,AR-SLu,MF,-33.4648,-66.4598,4.59819,1.084375,0.095702108,1.390196139,1.869796988
2010,9,AR-SLu,MF,-33.4648,-66.4598,6.22366,1.525,0.211732603,1.160025987,2.193536684
2010,10,AR-SLu,MF,-33.4648,-66.4598,8.03185,2.2375,0.542986544,1.576929332,3.36801845
2010,11,AR-SLu,MF,-33.4648,-66.4598,10.4469,2.584375,1.196778068,1.267216509,3.518734402
2010,12,AR-SLu,MF,-33.4648,-66.4598,10.3354,2.03125,0,0,0
2011,1,AR-SLu,MF,-33.4648,-66.4598,9.58955,2.109375,0,0,0
2011,2,AR-SLu,MF,-33.4648,-66.4598,8.72396,2.946875,7.105526946,1.090858715,8.112884289
2011,3,AR-SLu,MF,-33.4648,-66.4598,8.61115,2.959375,4.394635104,0.836477163,5.965483146
2011,4,AR-SLu,MF,-33.4648,-66.4598,6.9189,1.991666667,0.546855654,0.89858592,2.739366726
2011,5,AR-SLu,MF,-33.4648,-66.4598,5.72024,1.640625,0.338327143,1.305748861,2.389110036
2011,6,AR-SLu,MF,-33.4648,-66.4598,5.02115,1.01875,0.199131526,1.254040392,1.882292909
2011,7,AR-SLu,MF,-33.4648,-66.4598,5.39469,0.80625,0.066687559,0.906955929,1.357114198
2011,8,AR-SLu,MF,-33.4648,-66.4598,7.15979,1.171875,0.078629076,1.142188401,1.536229581
2011,9,AR-SLu,MF,-33.4648,-66.4598,9.16479,1.2625,0,0,0
2011,10,AR-SLu,MF,-33.4648,-66.4598,9.38481,2.104166667,0.420694009,1.221770099,2.609466481
2011,11,AR-SLu,MF,-33.4648,-66.4598,10.94,2.875,1.140422625,0.966035335,2.682431725
2011,12,AR-SLu,MF,-33.4648,-66.4598,11.7272,2.071875,0,0,0
2010,1,AR-Vir,ENF,-28.2395,-56.1886,7.57724,8.408333333,9.011015937,9.835380474,9.005944463
2010,2,AR-Vir,ENF,-28.2395,-56.1886,6.72923,8.13125,9.409588463,8.137953157,9.185336382
2010,6,AR-Vir,ENF,-28.2395,-56.1886,4.25698,4.765625,6.678949907,5.591543726,4.374156064
2011,6,AR-Vir,ENF,-28.2395,-56.1886,6.33544,3.825,5.31997846,4.453827711,3.484142921
2012,7,AR-Vir,ENF,-28.2395,-56.1886,3.34862,4.5,5.964151848,5.67180832,4.147891207
2012,9,AR-Vir,ENF,-28.2395,-56.1886,4.37987,7.0875,11.12006535,8.792340758,7.261718316
2012,12,AR-Vir,ENF,-28.2395,-56.1886,5.03038,4.534375,7.982190306,9.827181101,8.718116677
2002,5,AT-Neu,GRA,47.11667,11.3175,12.8885,3.88125,7.46499287,10.91479008,6.701234205
2002,6,AT-Neu,GRA,47.11667,11.3175,7.56608,5.0625,4.302597922,12.06137641,7.148510939
2002,7,AT-Neu,GRA,47.11667,11.3175,12.0657,6.340625,11.51053464,17.71079145,9.52561689
2002,8,AT-Neu,GRA,47.11667,11.3175,6.62312,3.55625,3.687045675,10.19267456,5.462713974
2002,9,AT-Neu,GRA,47.11667,11.3175,6.90667,2.209375,3.256705635,6.710430379,3.520409387
2002,10,AT-Neu,GRA,47.11667,11.3175,1.23696,1.008333333,1.18507269,3.045848452,1.770525632
2002,11,AT-Neu,GRA,47.11667,11.3175,0.989357,0.19375,0.269332853,0.829267021,0.32826855
2003,5,AT-Neu,GRA,47.11667,11.3175,11.609,2.875,4.163956934,8.288817366,5.088994477
2003,6,AT-Neu,GRA,47.11667,11.3175,9.11347,6.0625,6.945115854,14.67235599,8.695980769
2003,7,AT-Neu,GRA,47.11667,11.3175,12.3301,6.184375,5.889100906,14.3631562,7.725116276
2003,8,AT-Neu,GRA,47.11667,11.3175,10.8114,5.178125,4.341412034,11.66826246,6.25354808
2003,9,AT-Neu,GRA,47.11667,11.3175,5.20338,2.278125,1.723091439,5.785875794,3.035371847
2003,10,AT-Neu,GRA,47.11667,11.3175,1.5997,0.545833333,0.809756984,2.081220062,1.209795406
2003,11,AT-Neu,GRA,47.11667,11.3175,0.89567,0.365625,0.233288742,0.767825514,0.303946692
2004,5,AT-Neu,GRA,47.11667,11.3175,14.0317,2.8,4.009648437,7.763400995,4.766410339
2004,6,AT-Neu,GRA,47.11667,11.3175,8.20816,4.221875,3.698532786,9.458539216,5.605866923
2004,7,AT-Neu,GRA,47.11667,11.3175,12.142,5.021875,4.062418454,11.49816083,6.184199914
2004,8,AT-Neu,GRA,47.11667,11.3175,8.28654,4.221875,3.445750468,10.10293522,5.414618617
2004,9,AT-Neu,GRA,47.11667,11.3175,6.7786,2.971875,3.568302988,7.43698683,3.901573635
