month,type,LUE_MODIS,LUE_LAI,LUE_CI,LUE_CI_SE,LUE_PAR,LUE_PAR_SE,LUE_MC_W,LUE_MC_W_SE
1,MF,1.051,11.0185564,0.325147616,0.051158011,2.140710476,0.149629768,1.644439412,0.00259649
2,MF,1.051,8.403420506,0.249226696,0.049040046,2.161570384,0.076958512,1.853537327,0.001042534
3,MF,1.051,4.803381894,0.187011459,0.026821546,1.787547737,0.043054779,1.333704917,0.000609914
4,MF,1.051,1.506522706,0.300060367,0.034018509,1.435731376,0.02102623,0.914743227,0.000307097
5,MF,1.051,1.17175792,0.462509385,0.043159062,1.320899334,0.020142068,0.846246813,0.000172681
6,MF,1.051,1.185407081,0.636235081,0.060795957,1.224814383,0.030056514,0.954977837,0.000213481
7,MF,1.051,1.123521615,0.69454456,0.099150892,1.313183019,0.027931374,1.039274625,0.000206319
8,MF,1.051,1.055802375,0.697131213,0.065497307,1.412692056,0.022528816,0.937633048,0.000188418
9,MF,1.051,1.284393813,0.47978511,0.042988497,1.662511783,0.02509722,0.907243675,0.000205551
10,MF,1.051,1.353270325,0.476380279,0.045789429,2.031735973,0.038638322,1.017456862,0.000393548
11,MF,1.051,2.489806168,0.419419002,0.074060073,2.304406405,0.069348874,1.164618721,0.000961141
12,MF,1.051,8.137161036,0.175705491,0.050093166,1.822524525,0.220831975,1.238964935,0.002652174
1,ENF,0.962,0.881295264,0.961919754,0.107455502,2.175054557,0.067857063,0.880799264,0.000229009
2,ENF,0.962,1.007123805,0.871018576,0.071226272,2.009770244,0.048484244,0.983121734,0.000219413
3,ENF,0.962,1.50903272,0.882845345,0.039920457,1.667416385,0.025922082,0.964497265,0.000203991
4,ENF,0.962,2.348701743,0.872593948,0.030623966,1.40308697,0.011625085,1.011902146,0.000132722
5,ENF,0.962,1.546357172,0.999895951,0.02520251,1.204500495,0.010023515,0.859879253,7.88E-05
6,ENF,0.962,1.253111487,1.049091215,0.026288022,1.103304833,0.010302838,0.820683683,8.10E-05
7,ENF,0.962,1.16594405,1.108793225,0.027241018,1.138371885,0.010631397,0.810879601,8.01E-05
